date,code,name,close,volume
115/07/17,2049,上銀,306.0,2852114.0
115/07/17,2308,台達電,1740.0,14248513.0
115/07/17,2317,鴻海,234.0,69006897.0
115/07/17,2330,台積電,2290.0,97362670.0
115/07/17,2337,旺宏,125.0,68546901.0
115/07/17,2344,華邦電,155.0,110525648.0
115/07/17,2376,技嘉,325.0,8552370.0
115/07/17,2379,瑞昱,718.0,7045073.0
115/07/17,2382,廣達,325.5,33474930.0
115/07/17,2408,南亞科,395.5,82626113.0
115/07/17,2454,聯發科,3370.0,10967157.0
115/07/17,2634,漢翔,61.2,37076047.0
115/07/17,3005,神基,110.0,6620178.0
115/07/17,3006,晶豪科,198.0,11459777.0
115/07/17,3017,奇鋐,2200.0,5543230.0
115/07/17,3034,聯詠,460.5,5508622.0
115/07/17,3035,智原,184.0,7282714.0
115/07/17,3037,欣興,794.0,30076422.0
115/07/17,3231,緯創,139.0,38762694.0
115/07/17,3260,,366.5,11512000.0
115/07/17,3443,創意,3835.0,2361511.0
115/07/17,3583,辛耘,747.0,1414605.0
115/07/17,3653,健策,3210.0,1110713.0
115/07/17,3661,世芯-KY,3480.0,2162718.0
115/07/17,3711,日月光投控,614.0,27892135.0
115/07/17,4577,,70.0,486000.0
115/07/17,4938,和碩,82.2,15671687.0
115/07/17,4966,,585.0,1727000.0
115/07/17,4967,十銓,209.0,3409697.0
115/07/17,5269,祥碩,1435.0,703710.0
115/07/17,5347,,169.0,31486000.0
115/07/17,5371,,81.5,30116000.0
115/07/17,6415,矽力*-KY,435.0,8284139.0
115/07/17,6488,,1240.0,11242000.0
115/07/17,6531,愛普*,819.0,3134508.0
115/07/17,6669,緯穎,4620.0,1627532.0
115/07/17,8033,雷虎,219.0,3089355.0
115/07/17,8046,南電,1150.0,16446877.0
115/07/17,8299,,1785.0,6919000.0
115/07/20,2049,上銀,300.0,2284977.0
115/07/20,2303,聯電,130.0,297589744.0
115/07/20,2308,台達電,1705.0,11567901.0
115/07/20,2317,鴻海,234.5,48579978.0
115/07/20,2330,台積電,2320.0,55790346.0
115/07/20,2337,旺宏,117.5,71475589.0
115/07/20,2344,華邦電,151.0,107223362.0
115/07/20,2376,技嘉,331.0,7450480.0
115/07/20,2379,瑞昱,709.0,4306249.0
115/07/20,2382,廣達,316.0,36017076.0
115/07/20,2408,南亞科,381.0,73602466.0
115/07/20,2454,聯發科,3340.0,9227986.0
115/07/20,2634,漢翔,65.0,86889053.0
115/07/20,3005,神基,109.5,3702385.0
115/07/20,3006,晶豪科,188.5,8543683.0
115/07/20,3014,聯陽,124.0,1381874.0
115/07/20,3017,奇鋐,2135.0,4416999.0
115/07/20,3034,聯詠,458.0,4215309.0
115/07/20,3035,智原,182.5,5623259.0
115/07/20,3037,欣興,750.0,30661875.0
115/07/20,3081,,1435.0,2570000.0
115/07/20,3094,聯傑,35.65,2033047.0
115/07/20,3231,緯創,143.5,51717481.0
115/07/20,3260,,348.5,8796000.0
115/07/20,3443,創意,3745.0,1809521.0
115/07/20,3583,辛耘,728.0,1298862.0
115/07/20,3653,健策,3200.0,1510316.0
115/07/20,3661,世芯-KY,3365.0,2061321.0
115/07/20,3711,日月光投控,597.0,30646403.0
115/07/20,4577,,69.0,398000.0
115/07/20,4938,和碩,80.0,11806419.0
115/07/20,4966,,567.0,2039000.0
115/07/20,4967,十銓,208.5,2764713.0
115/07/20,5269,祥碩,1470.0,1285723.0
115/07/20,5347,,152.5,36278000.0
115/07/20,5371,,83.8,38200000.0
115/07/20,6415,矽力*-KY,427.5,6790313.0
115/07/20,6488,,1265.0,12124000.0
115/07/20,6531,愛普*,780.0,3373745.0
115/07/20,6669,緯穎,4685.0,1414812.0
115/07/20,8033,雷虎,204.5,27186589.0
115/07/20,8046,南電,1105.0,18077328.0
115/07/20,8299,,1735.0,4796000.0
115/07/21,2049,上銀,305.0,1758238.0
115/07/21,2303,聯電,134.5,259729470.0
115/07/21,2308,台達電,1835.0,11082972.0
115/07/21,2317,鴻海,246.0,51471036.0
115/07/21,2330,台積電,2410.0,31605663.0
115/07/21,2337,旺宏,123.0,45753444.0
115/07/21,2344,華邦電,155.5,104783854.0
115/07/21,2376,技嘉,341.0,4891236.0
115/07/21,2379,瑞昱,753.0,3022098.0
115/07/21,2382,廣達,324.0,22568430.0
115/07/21,2408,南亞科,405.0,70570915.0
115/07/21,2454,聯發科,3670.0,7741511.0
115/07/21,2634,漢翔,71.5,92665583.0
115/07/21,3005,神基,116.5,10271721.0
115/07/21,3006,晶豪科,199.5,6364922.0
115/07/21,3014,聯陽,129.5,799318.0
115/07/21,3017,奇鋐,2320.0,3736446.0
115/07/21,3034,聯詠,476.0,4333720.0
115/07/21,3035,智原,194.5,3522625.0
115/07/21,3037,欣興,825.0,18816207.0
115/07/21,3081,,1515.0,1508000.0
115/07/21,3094,聯傑,38.65,3849398.0
115/07/21,3231,緯創,149.5,36192970.0
115/07/21,3260,,368.5,4378000.0
115/07/21,3443,創意,4115.0,1416745.0
115/07/21,3583,辛耘,750.0,958363.0
115/07/21,3653,健策,3520.0,2017560.0
115/07/21,3661,世芯-KY,3490.0,1468143.0
115/07/21,3711,日月光投控,633.0,15573369.0
115/07/21,4577,,69.5,179000.0
115/07/21,4938,和碩,82.8,9557341.0
115/07/21,4966,,583.0,562000.0
115/07/21,4967,十銓,214.0,1241201.0
115/07/21,5269,祥碩,1410.0,642195.0
115/07/21,5347,,155.5,24334000.0
115/07/21,5371,,89.5,39252000.0
115/07/21,6415,矽力*-KY,461.5,2773645.0
115/07/21,6488,,1205.0,12928000.0
115/07/21,6531,愛普*,858.0,2388062.0
115/07/21,6669,緯穎,5000.0,1129418.0
115/07/21,8033,雷虎,214.0,22034619.0
115/07/21,8046,南電,1190.0,16995210.0
115/07/21,8299,,1855.0,2959000.0
